question,answer,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
"Noble is a 2014 film written and directed by Stephen Bradley about the true life story of Christina Noble, a children's rights campaigner, charity worker and writer, it stars Sarah Greene, an Irish actress and singer, best known for portraying Helen McCormick in the West End and Broadway productions of what?",The Cripple of Inishmaan,The Cripple of Inishmaan,True,1.0,1,9.894088983535767,5109.0,3.0,0.0,0.010218000000000001,0.010218000000000001
Who was the English clergyman and Archbishop of Trier Otto von Ziegenhain that led the Battle of Tachov?,Henry Beaufort,yes,False,0.0,0,7.385753870010376,3238.0,2.0,0.0,0.006476,0.006476
Which fictional character in the Harry Potter film was played by Robbie Coltrane? ,Rubeus Hagrid,Rubeus Hagrid,True,1.0,1,18.42901849746704,3488.0,2.0,0.0,0.006976,0.006976
"What Classification is the album by UK band Seccond Person, and a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol?",Trip hop,Agent stopped due to iteration limit or time limit.,False,0.0,0,68.38137531280518,17608.0,9.0,0.0,0.035216,0.035216
"What actor from The Imitation Game also starred in ""Revolver"", ""RocknRolla"" and ""Sherlock Holmes""?",Mark Strong,Mark Strong,True,1.0,1,34.02261471748352,20259.0,7.0,0.0,0.040518,0.040518
This 2006 Iowa Hawkeyes football coach played for University of Connecticut in 1976 as a linebacker?,Kirk Ferentz,Agent stopped due to iteration limit or time limit.,False,0.0,0,72.92089009284973,18201.0,9.0,0.0,0.036402000000000004,0.036402000000000004
Ikivo Animator integrates with a software application developed by which company?,Adobe Systems,unknown,False,0.0,0,31.639001846313477,6409.0,4.0,0.0,0.012818,0.012818
What American actress born in 1912 did the violin master known for his sweet tone and gemütlich style compose a work for?,Marta Eggerth,unknown,False,0.0,0,20.853843450546265,8600.0,5.0,0.0,0.017200000000000003,0.017200000000000003
"Which plant has more species, Teucrium or Atalaya?",Teucrium,Agent stopped due to iteration limit or time limit.,False,0.0,0,68.71272802352905,14843.0,9.0,0.0,0.029686,0.029686
When was the British-American journalist and editor born Who was the editor in chief of The September?,3 November 1949,cannot be determined,False,0.0,0,33.38428568840027,16663.0,8.0,0.0,0.033326,0.033326
The person who presented Mary Queen of Shops television series was appointed by who to lead a review into the future of Britain's high streets?,David Cameron,Mary Portas,False,0.0,0,15.061214685440063,7440.0,4.0,0.0,0.01488,0.01488
"WDOM is currently owned by what private, coeducational, Roman Catholic university?",Providence College,Providence College,True,1.0,1,5.527900695800781,3192.0,2.0,0.0,0.006384,0.006384
"For what group did Maurice Gibb play a variety of instruments and co-wrote the song ""Stayin' Alive""?",Bee Gees,Bee Gees,True,1.0,1,13.512739181518555,5690.0,3.0,0.0,0.011380000000000001,0.011380000000000001
"Which processional racing driver was born on June 13, 1973 and worked alongside Adam Ferrara in an American television series?",Tanner Foust,Tanner Foust,True,1.0,1,8.70262098312378,3239.0,2.0,0.0,0.006478,0.006478
Lost Cause is a song by an artist mostly known for what?,his musical composition,music,False,0.0,0,13.395152807235718,8592.0,4.0,0.0,0.017184,0.017184
"What song written by American songwriter Johnny Marks, made popular by Burl Ives, is one of the Top 25 most performed holiday songs written by ASCAP members?",A Holly Jolly Christmas,Agent stopped due to iteration limit or time limit.,False,0.0,0,49.9925479888916,18424.0,9.0,0.0,0.036848,0.036848
"Don ""The Bull"" Adams was a bare-knuckle boxer, from Waltham Cross, Hertfordshire, in which UK country, at a planned fight at Holborn Stud Farm on Sunday, 26 October 1975, between himself and Roy “Pretty Boy” Shaw, was an English millionaire, real estate investor, author and businessman from the East End of London who was formerly a criminal and Category A prisoner?",England,"Hertfordshire, England",False,0.6666666666666666,1,9.007040739059448,3479.0,2.0,0.0,0.006958,0.006958
Which American rock band is from New Mexico Circa Survive or The Shins?,The Shins,The Shins,True,1.0,1,24.52248787879944,5495.0,3.0,0.0,0.01099,0.01099
Who is the former quarterback and presenter of the halftime report during ESPN College Football Primetime?,Danny Kanell,nan,False,0.0,0,,,,,,
What film star from the Twilight Saga is from England?,Robert Pattinson,Agent stopped due to iteration limit or time limit.,False,0.0,0,30.384422063827515,19985.0,9.0,0.0,0.03997,0.03997
In what 2008 film directed by Tom Vaughan does Cameron Diaz appear? ,What Happens in Vegas,What Happens in Vegas,True,1.0,1,9.931203603744507,4907.0,3.0,0.0,0.009814000000000002,0.009814000000000002
Are both Charles Band and M. Night Shyamalan known for making films with a comedic flair?,no,no,True,1.0,1,25.60407018661499,9567.0,5.0,0.0,0.019133999999999998,0.019133999999999998
Which Louisiana Governor presiding over speaker Ralph Norman Bauer was a singer and songwriter?,Jimmie Davis,Jimmie Davis,True,1.0,1,22.321245670318604,11181.0,6.0,0.0,0.022362,0.022362
When did the team formerly known as the Renault team design the Lotus E20?,2012 Formula One season,2012,False,0.4,0,64.61667203903198,14363.0,4.0,0.0,0.028726,0.028726
What is the name of an Afghanistan Sarbani tribe?,Alakozai,"Sherani, Tareen, Durrani, Khalil, Kheshgi, Kasi, Daudzai, Muhammadzai, Chamkani, Yousafzai, Tarkalani",False,0.0,0,13.002748489379883,3332.0,2.0,0.0,0.006664,0.006664
