question,answer,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
"Noble is a 2014 film written and directed by Stephen Bradley about the true life story of Christina Noble, a children's rights campaigner, charity worker and writer, it stars Sarah Greene, an Irish actress and singer, best known for portraying Helen McCormick in the West End and Broadway productions of what?",The Cripple of Inishmaan,Billy Elliot the Musical.,False,0.0,0,0.6950883865356445,87,1,0,0.000174,0.000174
Who was the English clergyman and Archbishop of Trier Otto von Ziegenhain that led the Battle of Tachov?,Henry Beaufort,Otto von Ziegenhain was not the English clergyman and Archbishop of Trier who led the Battle of Tachov.,False,0.0,0,2.1524815559387207,74,1,0,0.000148,0.000148
Which fictional character in the Harry Potter film was played by Robbie Coltrane? ,Rubeus Hagrid,Hagrid.,False,0.6666666666666666,1,0.7474579811096191,39,1,0,7.8e-05,7.8e-05
"What Classification is the album by UK band Seccond Person, and a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol?",Trip hop,Trip-hop.,False,0.0,1,0.6233086585998535,55,1,0,0.00010999999999999999,0.00010999999999999999
"What actor from The Imitation Game also starred in ""Revolver"", ""RocknRolla"" and ""Sherlock Holmes""?",Mark Strong,Jude Law.,False,0.0,0,0.6579432487487793,51,1,0,0.000102,0.000102
This 2006 Iowa Hawkeyes football coach played for University of Connecticut in 1976 as a linebacker?,Kirk Ferentz,"Who is the 2006 Iowa Hawkeyes football coach that played for University of Connecticut in 1976 as a linebacker?

I do not have access to information about the answer as it requires specific knowledge about a person.",False,0.0,0,2.824497938156128,87,1,0,0.000174,0.000174
Ikivo Animator integrates with a software application developed by which company?,Adobe Systems,Ikivo Animator is developed by Ikivo AB and does not integrate with any specific software application developed by another company.,False,0.0,0,1.6307008266448975,55,1,0,0.00010999999999999999,0.00010999999999999999
What American actress born in 1912 did the violin master known for his sweet tone and gemütlich style compose a work for?,Marta Eggerth,Jascha Heifetz composed a work for American actress born in 1912.,False,0.0,0,1.5187921524047852,64,1,0,0.000128,0.000128
"Which plant has more species, Teucrium or Atalaya?",Teucrium,Teucrium.,True,1.0,1,0.7137711048126221,39,1,0,7.8e-05,7.8e-05
When was the British-American journalist and editor born Who was the editor in chief of The September?,3 November 1949,"I'm sorry, but you need to provide specific names for me to answer these questions accurately.",False,0.0,0,1.6704349517822266,57,1,0,0.00011399999999999999,0.00011399999999999999
The person who presented Mary Queen of Shops television series was appointed by who to lead a review into the future of Britain's high streets?,David Cameron,The person who presented Mary Queen of Shops television series was appointed by the UK government to lead a review into the future of Britain's high streets.,False,0.0,0,2.1148698329925537,75,1,0,0.00015,0.00015
"WDOM is currently owned by what private, coeducational, Roman Catholic university?",Providence College,Providence College.,True,1.0,1,0.651599645614624,40,1,0,7.999999999999999e-05,7.999999999999999e-05
"For what group did Maurice Gibb play a variety of instruments and co-wrote the song ""Stayin' Alive""?",Bee Gees,Bee Gees.,True,1.0,1,0.6446833610534668,49,1,0,9.8e-05,9.8e-05
"Which processional racing driver was born on June 13, 1973 and worked alongside Adam Ferrara in an American television series?",Tanner Foust,Tanner Foust.,True,1.0,1,0.7566092014312744,51,1,0,0.000102,0.000102
Lost Cause is a song by an artist mostly known for what?,his musical composition,Country music.,False,0.0,0,0.7073593139648438,35,1,0,7e-05,7e-05
"What song written by American songwriter Johnny Marks, made popular by Burl Ives, is one of the Top 25 most performed holiday songs written by ASCAP members?",A Holly Jolly Christmas,"""Rudolph the Red-Nosed Reindeer.""",False,0.0,0,1.7738428115844727,64,1,0,0.000128,0.000128
"Don ""The Bull"" Adams was a bare-knuckle boxer, from Waltham Cross, Hertfordshire, in which UK country, at a planned fight at Holborn Stud Farm on Sunday, 26 October 1975, between himself and Roy “Pretty Boy” Shaw, was an English millionaire, real estate investor, author and businessman from the East End of London who was formerly a criminal and Category A prisoner?",England,England.,True,1.0,1,0.6766672134399414,108,1,0,0.000216,0.000216
Which American rock band is from New Mexico Circa Survive or The Shins?,The Shins,"Neither, both bands are not from New Mexico.",False,0.0,0,1.236450433731079,46,1,0,9.2e-05,9.2e-05
Who is the former quarterback and presenter of the halftime report during ESPN College Football Primetime?,Danny Kanell,Jesse Palmer.,False,0.0,0,0.7309396266937256,41,1,0,8.2e-05,8.2e-05
What film star from the Twilight Saga is from England?,Robert Pattinson,Robert Pattinson.,True,1.0,1,0.7391357421875,34,1,0,6.8e-05,6.8e-05
In what 2008 film directed by Tom Vaughan does Cameron Diaz appear? ,What Happens in Vegas,What Happens in Vegas.,True,1.0,1,0.6899726390838623,41,1,0,8.2e-05,8.2e-05
Are both Charles Band and M. Night Shyamalan known for making films with a comedic flair?,no,No.,True,1.0,1,0.8179619312286377,42,1,0,8.4e-05,8.4e-05
Which Louisiana Governor presiding over speaker Ralph Norman Bauer was a singer and songwriter?,Jimmie Davis,Jimmie Davis.,True,1.0,1,0.8420331478118896,40,1,0,7.999999999999999e-05,7.999999999999999e-05
When did the team formerly known as the Renault team design the Lotus E20?,2012 Formula One season,The team formerly known as the Renault team designed the Lotus E20 in 2012.,False,0.13333333333333333,1,1.7588117122650146,53,1,0,0.000106,0.000106
What is the name of an Afghanistan Sarbani tribe?,Alakozai,Ghilzai.,False,0.0,0,0.6868300437927246,36,1,0,7.2e-05,7.2e-05
Are both Pecom 32 and Applix 1616 based in Australia?,no,There is not enough information provided to answer this question.,False,0.0,0,1.1940648555755615,46,1,0,9.2e-05,9.2e-05
"The Forerunner was a monthly magazine produced by Charlotte Perkins Gilman (best known as the writer of ""The Yellow Wallpaper""), a 6,000-word short story by American writer Charlotte Perkins Gilman, first published in The New England Magazine, in what year?",1892,"The story was first published in The New England Magazine, but the year is not specified in the prompt.",False,0.0,0,1.6717138290405273,94,1,0,0.000188,0.000188
What timezone do the United States Minor Outlying Islands observe?,Samoa Time,UTC-11.,False,0.0,0,0.8121857643127441,35,1,0,7e-05,7e-05
Which Australian politician founded CARE Australia ,John Malcolm Fraser,Malcolm Fraser.,False,0.8,0,0.7302186489105225,30,1,0,5.9999999999999995e-05,5.9999999999999995e-05
Stefano Nava was a backup for which former right-back who now is the assistant coach for the Ukrainian national team?,Mauro Tassotti,Andriy Shevchenko.,False,0.0,0,3.5824718475341797,52,1,0,0.000104,0.000104
The 1994–95 U.C. Sampdoria season included a midfielder who was of what nationality?,English,Unknown.,False,0.0,0,0.7415928840637207,43,1,0,8.599999999999999e-05,8.599999999999999e-05
"Landon T. Clay (born Landon Thomas Clay) was an American businessman and founder of the Clay Mathematics Institute (CMI),  a private, non-profit foundation, based in Peterborough, New Hampshire, in which country?",United States,The United States.,True,1.0,1,0.6738283634185791,70,1,0,0.00014,0.00014
Wonder World is the second studio album by a pop group formed by what producer?,Park Jin-young,"I'm sorry, I cannot answer this question without additional context or information. Please provide more details.",False,0.0,0,1.8563196659088135,55,1,0,0.00010999999999999999,0.00010999999999999999
"Pibb Xtra and Pet, Inc., are made in which country?",United States,United States.,True,1.0,1,0.7206480503082275,38,1,0,7.599999999999999e-05,7.599999999999999e-05
Jack Reynolds won his first super bowl with the niners  in which season ?,the 1981 season,The 1981 season.,True,1.0,1,0.8204758167266846,41,1,0,8.2e-05,8.2e-05
Kevin Brooks was born in a state bordered by what ocean?,Atlantic Ocean,Unknown.,False,0.0,0,0.8015944957733154,33,1,0,6.599999999999999e-05,6.599999999999999e-05
What is the middle name of the leader of Quantrill's Raiders?,Clarke,"I'm sorry, as an AI language model, I cannot provide the answer as the leader of Quantrill's Raiders had several different leaders over time, each with their own middle name. Please specify which leader you are referring to.",False,0.0,0,3.6742403507232666,83,1,0,0.000166,0.000166
What profession does Adrian Brunel and Richard Oswald have in common?,director,They were both film directors.,False,0.0,1,0.6491670608520508,38,1,0,7.599999999999999e-05,7.599999999999999e-05
"Frank Lucien Hale once accompanied a famous American aviator nicknamed Slim, Lucky Lindy, and The Lone Eagle on what?",a transcontinental flight,Frank Lucien Hale accompanied Lucky Lindy on a flight.,False,0.2,0,1.300342321395874,56,1,0,0.000112,0.000112
Singwango Secondary School had a sister school in a census-designated place in the town of North Hempstead in what county of New York?,Nassau County,North Hempstead is in Nassau County.,False,0.5,1,1.2096459865570068,57,1,0,0.00011399999999999999,0.00011399999999999999
"Which university is a public research university, Ashesi University or National Autonomous University of Mexico?",National Autonomous University of Mexico,National Autonomous University of Mexico.,True,1.0,1,0.7920153141021729,43,1,0,8.599999999999999e-05,8.599999999999999e-05
What Norwegian band has played at Sparebanken Sør Arena?,A-ha,"I'm sorry, as an AI language model, I do not have access to current events or recent performances. Can you please specify the date or year of the event?",False,0.0,0,2.627182960510254,66,1,0,0.00013199999999999998,0.00013199999999999998
Are both Thomas Reiter and Sigmund Jähn astronauts?,no,Yes.,False,0.0,0,0.7608892917633057,35,1,0,7e-05,7e-05
Where did the helicopter crash take place that killed Vic Morrow?,"Valencia, Santa Clarita, California",The helicopter crash that killed Vic Morrow took place in California.,False,0.14285714285714288,1,1.2268133163452148,43,1,0,8.599999999999999e-05,8.599999999999999e-05
"Clarence ""Keith"" Marquis Mitchell, is a former American football linebacker in which rganization,who played for the Houston Texans, a professional American football team based in Houston, Texas?",National Football League,Houston Texans.,False,0.0,0,0.7840571403503418,61,1,0,0.000122,0.000122
" 1889–90 Burnley F.C. season had success in what football knockout tournament involving teams from Lancashire, England",Lancashire County Football Association Cup,The football knockout tournament was the Lancashire Senior Cup.,False,0.5,0,1.2438361644744873,56,1,0,0.000112,0.000112
Last in Line reunited in 2010 with the guitarist who was of what nationality?,Northern Irish,American.,False,0.0,0,0.715954065322876,38,1,0,7.599999999999999e-05,7.599999999999999e-05
Who owns the news television channel who Andrew Ehinger is a reporter for?,Altice USA,The answer is not provided in the given information.,False,0.0,0,1.2242722511291504,44,1,0,8.8e-05,8.8e-05
"What distinctive surface is the historic Merton Street, that runs parallel to High Street in the southeastern university city of Oxford, England?",cobbled,The historic Merton Street has cobblestone surface.,False,0.0,1,1.1677241325378418,56,1,0,0.000112,0.000112
I'll Sail My Ship Alone has been recorded by which American country music singer?,Mickey Leroy Gilley,"It has been recorded by many artists, but the most famous version was by Hank Williams.",False,0.0,0,1.6422491073608398,53,1,0,0.000106,0.000106
"When was the American rapper from St. Louis, Missouri born who has guest appeared in New Jack City, Pt. II and who's one of the album is ""Country Grammar""?","November 2, 1974","The American rapper from St. Louis, Missouri was born on an unknown date.",False,0.0,0,1.7381198406219482,72,1,0,0.000144,0.000144
"Although best known for playing Jesus, Brian Deacon also appeared in this 1972 British film by Michael Apted?",The Triple Echo,"What is the title of the 1972 British film directed by Michael Apted that Brian Deacon appeared in?

The title of the film is ""The Triple Echo"".",False,0.16666666666666669,1,2.597368001937866,77,1,0,0.000154,0.000154
