question,answer,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
"Noble is a 2014 film written and directed by Stephen Bradley about the true life story of Christina Noble, a children's rights campaigner, charity worker and writer, it stars Sarah Greene, an Irish actress and singer, best known for portraying Helen McCormick in the West End and Broadway productions of what?",The Cripple of Inishmaan,Helen McCormick.,False,0.0,0,10.750393152236938,1079.0,4.0,0.01,0.004048,0.014048000000000001
Who was the English clergyman and Archbishop of Trier Otto von Ziegenhain that led the Battle of Tachov?,Henry Beaufort,nan,False,0.0,0,,,,,,
Which fictional character in the Harry Potter film was played by Robbie Coltrane? ,Rubeus Hagrid,Hagrid.,False,0.6666666666666666,1,11.317540168762207,893.0,4.0,0.0,0.003136,0.003136
"What Classification is the album by UK band Seccond Person, and a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol?",Trip hop,"The album Classification by UK band Seccond Person is not classified as trip-hop, the musical genre that originated in the early 1990s in the United Kingdom, especially Bristol.",False,0.0,0,17.508472681045532,1046.0,4.0,0.01,0.003928,0.013928
"What actor from The Imitation Game also starred in ""Revolver"", ""RocknRolla"" and ""Sherlock Holmes""?",Mark Strong,Benedict Cumberbatch.,False,0.0,0,13.698197603225708,977.0,4.0,0.01,0.003412,0.013412
This 2006 Iowa Hawkeyes football coach played for University of Connecticut in 1976 as a linebacker?,Kirk Ferentz,False.,False,0.0,0,24.06186604499817,1123.0,4.0,0.01,0.005432,0.015432000000000001
Ikivo Animator integrates with a software application developed by which company?,Adobe Systems,Ikivo.,False,0.0,0,8.823583841323853,858.0,4.0,0.02,0.002832,0.022832
What American actress born in 1912 did the violin master known for his sweet tone and gemütlich style compose a work for?,Marta Eggerth,Katharine Hepburn.,False,0.0,0,11.060500621795654,932.0,4.0,0.0,0.0028539999999999998,0.0028539999999999998
"Which plant has more species, Teucrium or Atalaya?",Teucrium,nan,False,0.0,0,,,,,,
When was the British-American journalist and editor born Who was the editor in chief of The September?,3 November 1949,"The British-American journalist and editor was born on January 7, 1957. There is no available information on who was the editor in chief of The September.",False,0.0,0,13.13105058670044,882.0,4.0,0.01,0.002574,0.012574
