question,answer,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
"Noble is a 2014 film written and directed by Stephen Bradley about the true life story of Christina Noble, a children's rights campaigner, charity worker and writer, it stars Sarah Greene, an Irish actress and singer, best known for portraying Helen McCormick in the West End and Broadway productions of what?",The Cripple of Inishmaan,Helen McCormick in the West End and Broadway productions of an unknown play or musical.,False,0.125,0,11.602515697479248,1144,5,0.0,0.004916,0.004916
Who was the English clergyman and Archbishop of Trier Otto von Ziegenhain that led the Battle of Tachov?,Henry Beaufort,"There is no evidence that Otto von Ziegenhain led the Battle of Tachov. The armies were led by Cardinal Henry Beaufort of England and Archbishop of Trier Otto von Ziegenhain, but it is not specified who led which army.",False,0.10256410256410257,0,13.858009338378906,1257,5,0.0,0.00426,0.00426
Which fictional character in the Harry Potter film was played by Robbie Coltrane? ,Rubeus Hagrid,Rubeus Hagrid.,True,1.0,1,9.113426446914673,2342,4,0.0,0.020218,0.020218
"What Classification is the album by UK band Seccond Person, and a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol?",Trip hop,"Unable to determine the classification of the album ""Classification"" by UK band Second Person. Trip hop is a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol, but it is unclear if ""Classification"" is a trip hop album.",False,0.10256410256410257,0,14.438414335250854,1185,4,0.0,0.005105999999999999,0.005105999999999999
"What actor from The Imitation Game also starred in ""Revolver"", ""RocknRolla"" and ""Sherlock Holmes""?",Mark Strong,Benedict Cumberbatch.,False,0.0,0,7.7149717807769775,937,3,0.0,0.004034,0.004034
This 2006 Iowa Hawkeyes football coach played for University of Connecticut in 1976 as a linebacker?,Kirk Ferentz,"False. Kirk Ferentz, the 2006 Iowa Hawkeyes football coach, played for University of Connecticut as a linebacker from 1974 to 1976.",False,0.1904761904761905,0,13.004497051239014,1575,5,0.0,0.010458,0.010458
Ikivo Animator integrates with a software application developed by which company?,Adobe Systems,Protocol Labs.,False,0.0,0,10.548625469207764,1010,5,0.0,0.005044,0.005044
What American actress born in 1912 did the violin master known for his sweet tone and gemütlich style compose a work for?,Marta Eggerth,Unknown.,False,0.0,0,7.889130592346191,1179,3,0.0,0.007974,0.007974
"Which plant has more species, Teucrium or Atalaya?",Teucrium,Teucrium.,True,1.0,1,7.6983771324157715,1470,4,0.0,0.010554000000000001,0.010554000000000001
When was the British-American journalist and editor born Who was the editor in chief of The September?,3 November 1949,Unknown.,False,0.0,0,11.98569631576538,2923,5,0.0,0.027608000000000004,0.027608000000000004
The person who presented Mary Queen of Shops television series was appointed by who to lead a review into the future of Britain's high streets?,David Cameron,David Cameron appointed Mary Portas to lead the review.,False,0.4,0,10.162325859069824,1094,4,0.0,0.005662,0.005662
"WDOM is currently owned by what private, coeducational, Roman Catholic university?",Providence College,Providence College.,True,1.0,1,10.26758623123169,1244,5,0.0,0.008626,0.008626
"For what group did Maurice Gibb play a variety of instruments and co-wrote the song ""Stayin' Alive""?",Bee Gees,"Maurice Gibb played for the group Bee Gees and co-wrote the song ""Stayin' Alive"".",False,0.2857142857142857,1,12.90261173248291,2029,4,0.0,0.010538,0.010538
"Which processional racing driver was born on June 13, 1973 and worked alongside Adam Ferrara in an American television series?",Tanner Foust,Danica Patrick.,False,0.0,0,11.158816814422607,1056,4,0.0,0.005028,0.005028
Lost Cause is a song by an artist mostly known for what?,his musical composition,Creating musical collages of wide-ranging genres.,False,0.2222222222222222,0,13.926887035369873,2115,5,0.0,0.017406,0.017406
"What song written by American songwriter Johnny Marks, made popular by Burl Ives, is one of the Top 25 most performed holiday songs written by ASCAP members?",A Holly Jolly Christmas,"""A Holly Jolly Christmas""",True,1.0,1,11.98348617553711,2027,5,0.0,0.015124,0.015124
"Don ""The Bull"" Adams was a bare-knuckle boxer, from Waltham Cross, Hertfordshire, in which UK country, at a planned fight at Holborn Stud Farm on Sunday, 26 October 1975, between himself and Roy “Pretty Boy” Shaw, was an English millionaire, real estate investor, author and businessman from the East End of London who was formerly a criminal and Category A prisoner?",England,England.,True,1.0,1,16.80631947517395,2030,6,0.0,0.01531,0.01531
Which American rock band is from New Mexico Circa Survive or The Shins?,The Shins,The Shins.,True,1.0,1,8.089104890823364,1919,4,0.0,0.015484000000000001,0.015484000000000001
Who is the former quarterback and presenter of the halftime report during ESPN College Football Primetime?,Danny Kanell,There is no information provided about a former quarterback and presenter of the halftime report during ESPN College Football Primetime.,False,0.0,0,7.16651463508606,739,3,0.0,0.002306,0.002306
What film star from the Twilight Saga is from England?,Robert Pattinson,Robert Pattinson.,True,1.0,1,9.937413454055786,1605,4,0.0,0.012408000000000002,0.012408000000000002
In what 2008 film directed by Tom Vaughan does Cameron Diaz appear? ,What Happens in Vegas,What Happens in Vegas.,True,1.0,1,22.204614639282227,2361,7,0.0,0.018564,0.018564
Are both Charles Band and M. Night Shyamalan known for making films with a comedic flair?,no,No.,True,1.0,1,8.677172422409058,1403,4,0.0,0.009394000000000001,0.009394000000000001
Which Louisiana Governor presiding over speaker Ralph Norman Bauer was a singer and songwriter?,Jimmie Davis,None.,False,0.0,0,350.0956747531891,1384,5,0.0,0.009266,0.009266
When did the team formerly known as the Renault team design the Lotus E20?,2012 Formula One season,The team formerly known as the Renault team designed the Lotus E20 in 2012.,False,0.13333333333333333,1,9.93866515159607,1651,5,0.0,0.012050000000000002,0.012050000000000002
What is the name of an Afghanistan Sarbani tribe?,Alakozai,Durrani.,False,0.0,0,5.733718395233154,953,3,0.0,0.0045520000000000005,0.0045520000000000005
