question,answer,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
"Noble is a 2014 film written and directed by Stephen Bradley about the true life story of Christina Noble, a children's rights campaigner, charity worker and writer, it stars Sarah Greene, an Irish actress and singer, best known for portraying Helen McCormick in the West End and Broadway productions of what?",The Cripple of Inishmaan,There is no information provided in the given text that answers this question.,False,0.0,0,1.3942902088165283,435,0,0,0.00087,0.00087
Who was the English clergyman and Archbishop of Trier Otto von Ziegenhain that led the Battle of Tachov?,Henry Beaufort,There is no historical record of an English clergyman named Otto von Ziegenhain who led the Battle of Tachov. It is possible that the person in question is a fictional character or a case of mistaken identity.,False,0.0,0,3.0710644721984863,431,0,0,0.0008619999999999999,0.0008619999999999999
Which fictional character in the Harry Potter film was played by Robbie Coltrane? ,Rubeus Hagrid,Hagrid.,False,0.6666666666666666,1,0.7161779403686523,378,0,0,0.0007559999999999999,0.0007559999999999999
"What Classification is the album by UK band Seccond Person, and a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol?",Trip hop," The album by UK band Second Person is classified as trip-hop, a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol.",False,0.0,1,13.10535454750061,609,3,0,0.001218,0.001218
"What actor from The Imitation Game also starred in ""Revolver"", ""RocknRolla"" and ""Sherlock Holmes""?",Mark Strong, Benedict Cumberbatch,False,0.0,0,8.315539836883545,515,3,0,0.0010299999999999999,0.0010299999999999999
This 2006 Iowa Hawkeyes football coach played for University of Connecticut in 1976 as a linebacker?,Kirk Ferentz, Unknown,False,0.0,0,8.927990674972534,531,3,0,0.001062,0.001062
Ikivo Animator integrates with a software application developed by which company?,Adobe Systems, Unknown.,False,0.0,0,6.148167610168457,468,2,0,0.000936,0.000936
What American actress born in 1912 did the violin master known for his sweet tone and gemütlich style compose a work for?,Marta Eggerth,There is no evidence that Fritz Kreisler composed a work for an American actress born in 1912.,False,0.0,0,14.847888708114624,633,4,0,0.001266,0.001266
"Which plant has more species, Teucrium or Atalaya?",Teucrium, Teucrium has more species than Atalaya.,False,0.2857142857142857,1,7.781566143035889,487,2,0,0.0009739999999999999,0.0009739999999999999
When was the British-American journalist and editor born Who was the editor in chief of The September?,3 November 1949,"For the second question, we need to identify which publication is being referred to as ""The September"" and who the editor in chief was during a specific time period. Without that information, we cannot determine who held the position of editor in chief.",False,0.0,0,5.939806938171387,468,0,0,0.000936,0.000936
The person who presented Mary Queen of Shops television series was appointed by who to lead a review into the future of Britain's high streets?,David Cameron, The UK government,False,0.0,0,5.835429668426514,468,2,0,0.000936,0.000936
"WDOM is currently owned by what private, coeducational, Roman Catholic university?",Providence College, Providence College,True,1.0,1,4.80389928817749,440,2,0,0.0008799999999999999,0.0008799999999999999
"For what group did Maurice Gibb play a variety of instruments and co-wrote the song ""Stayin' Alive""?",Bee Gees, The Bee Gees,True,1.0,1,7.475061416625977,498,2,0,0.000996,0.000996
"Which processional racing driver was born on June 13, 1973 and worked alongside Adam Ferrara in an American television series?",Tanner Foust, Mattias Ekström,False,0.0,0,10.674642086029053,559,3,0,0.0011179999999999999,0.0011179999999999999
Lost Cause is a song by an artist mostly known for what?,his musical composition,Beck is an artist mostly known for his alternative rock and folk music.,False,0.13333333333333333,0,6.62189507484436,480,3,0,0.0009599999999999999,0.0009599999999999999
"What song written by American songwriter Johnny Marks, made popular by Burl Ives, is one of the Top 25 most performed holiday songs written by ASCAP members?",A Holly Jolly Christmas," ""Rudolph the Red-Nosed Reindeer""",False,0.0,0,37.43061423301697,606,3,0,0.001212,0.001212
"Don ""The Bull"" Adams was a bare-knuckle boxer, from Waltham Cross, Hertfordshire, in which UK country, at a planned fight at Holborn Stud Farm on Sunday, 26 October 1975, between himself and Roy “Pretty Boy” Shaw, was an English millionaire, real estate investor, author and businessman from the East End of London who was formerly a criminal and Category A prisoner?",England, England,True,1.0,1,0.7165646553039551,448,0,0,0.000896,0.000896
Which American rock band is from New Mexico Circa Survive or The Shins?,The Shins,Neither Circa Survive nor The Shins are from New Mexico.,False,0.19999999999999998,0,2.11574125289917,389,0,0,0.0007779999999999999,0.0007779999999999999
Who is the former quarterback and presenter of the halftime report during ESPN College Football Primetime?,Danny Kanell, Jesse Palmer.,False,0.0,0,5.117645025253296,447,2,0,0.0008939999999999999,0.0008939999999999999
What film star from the Twilight Saga is from England?,Robert Pattinson, Robert Pattinson.,True,1.0,1,3.7251498699188232,422,2,0,0.0008439999999999999,0.0008439999999999999
In what 2008 film directed by Tom Vaughan does Cameron Diaz appear? ,What Happens in Vegas," ""What Happens in Vegas"" (2008)",False,0.888888888888889,1,11.53926396369934,544,3,0,0.001088,0.001088
Are both Charles Band and M. Night Shyamalan known for making films with a comedic flair?,no,"No, Charles Band is not known for making films with a comedic flair, and while M. Night Shyamalan has directed some films with comedic elements, he is primarily known for his suspenseful and supernatural films.",False,0.0,0,14.945943355560303,575,3,0,0.00115,0.00115
Which Louisiana Governor presiding over speaker Ralph Norman Bauer was a singer and songwriter?,Jimmie Davis, N/A (There is no evidence to suggest any Louisiana Governor presiding over speaker Ralph Norman Bauer was a singer and songwriter.),False,0.0,0,15.401482343673706,610,4,0,0.00122,0.00122
When did the team formerly known as the Renault team design the Lotus E20?,2012 Formula One season," The team formerly known as Renault designed the Lotus E20 for the 2012 Formula One season, likely in the months leading up to its unveiling on February 5, 2012.",False,0.2758620689655173,1,15.05225658416748,610,3,0,0.00122,0.00122
What is the name of an Afghanistan Sarbani tribe?,Alakozai,"I'm sorry, I cannot provide a specific answer as there are multiple Sarbani tribes in Afghanistan and without additional context or information it is impossible to determine which specific tribe is being referred to.",False,0.0,0,2.763439893722534,409,0,0,0.0008179999999999999,0.0008179999999999999
Are both Pecom 32 and Applix 1616 based in Australia?,no," No, neither Pecom 32 nor Applix 1616 are based in Australia.",False,0.0,1,10.342713594436646,537,3,0,0.0010739999999999999,0.0010739999999999999
"The Forerunner was a monthly magazine produced by Charlotte Perkins Gilman (best known as the writer of ""The Yellow Wallpaper""), a 6,000-word short story by American writer Charlotte Perkins Gilman, first published in The New England Magazine, in what year?",1892, Cannot be determined without additional information.,False,0.0,0,8.19354796409607,536,3,0,0.001072,0.001072
What timezone do the United States Minor Outlying Islands observe?,Samoa Time, The United States Minor Outlying Islands observe both the Hawaii-Aleutian Time Zone and the Samoa Time Zone,False,0.25,0,15.154775857925415,626,3,0,0.0012519999999999999,0.0012519999999999999
Which Australian politician founded CARE Australia ,John Malcolm Fraser,The Australian politician who founded CARE Australia is Malcolm Fraser.,False,0.3333333333333333,1,1.2223827838897705,376,0,0,0.000752,0.000752
Stefano Nava was a backup for which former right-back who now is the assistant coach for the Ukrainian national team?,Mauro Tassotti,"I'm sorry, I cannot provide an answer to this question as it requires knowledge of current events and sports, which is outside my scope of expertise as a language model AI.",False,0.0,0,2.97070574760437,418,0,0,0.0008359999999999999,0.0008359999999999999
