claim,label,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
Tyne Daly performed in the Broadway play The Seagull.,SUPPORTS,SUPPORTS,True,1.0,1,0.45163726806640625,43,1,0,0.0008600000000000001,0.0008600000000000001
Natasha Richardson starred as the main character in Patty Hearst.,SUPPORTS,SUPPORTS,True,1.0,0,0.41501545906066895,43,1,0,0.0008600000000000001,0.0008600000000000001
Jane Fonda is a person who acts.,SUPPORTS,SUPPORTS,True,1.0,1,0.42801904678344727,39,1,0,0.0007800000000000001,0.0007800000000000001
Usain Bolt is a whale.,REFUTES,REFUTES,True,1.0,0,0.45445871353149414,37,1,0,0.0007400000000000001,0.0007400000000000001
Malaysia Airlines is a company that provides services.,SUPPORTS,SUPPORTS,True,1.0,0,1.014594316482544,41,1,0,0.0008200000000000001,0.0008200000000000001
Myles Kennedy was once part of a band.,SUPPORTS,SUPPORTS,True,1.0,1,0.6706621646881104,40,1,0,0.0008,0.0008
Generation X features birth years from the 1970s and it is studied.,SUPPORTS,SUPPORTS,True,1.0,1,0.634946346282959,45,1,0,0.0009000000000000001,0.0009000000000000001
Acting is William Shatner's profession.,SUPPORTS,SUPPORTS,True,1.0,1,0.5198612213134766,40,1,0,0.0008,0.0008
Desperate Housewives aired on a channel.,REFUTES,SUPPORTS,False,0.0,0,0.46032094955444336,39,1,0,0.0007800000000000001,0.0007800000000000001
One professional wrestler is Kurt Angle.,SUPPORTS,SUPPORTS,True,1.0,1,0.5043044090270996,37,1,0,0.0007400000000000001,0.0007400000000000001
Robert J. O'Neill (U.S. Navy SEAL) claimed to have fired the man that killed Osama bin Laden.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.30927419662475586,56,1,0,0.0011200000000000001,0.0011200000000000001
Keanu Reeves played bass guitar for the band Becky.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.4998157024383545,42,1,0,0.00084,0.00084
Reba McEntire sang at ballet recitals.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.87923264503479,42,1,0,0.00084,0.00084
Halle Berry worked.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.43780517578125,36,1,0,0.00072,0.00072
Josh Hartnett is not an actor.,REFUTES,REFUTES,True,1.0,0,0.4496634006500244,39,1,0,0.0007800000000000001,0.0007800000000000001
Gareth Neame has only ever won an Oscar.,REFUTES,NOT ENOUGH INFO,False,0.0,0,0.5548572540283203,42,1,0,0.00084,0.00084
Michael C. Hall won a Golden Globe Award in 2010.,SUPPORTS,SUPPORTS,True,1.0,1,0.5310111045837402,42,1,0,0.00084,0.00084
Star vs. the Forces of Evil is produced by Disney Television Animation.,SUPPORTS,SUPPORTS,True,1.0,1,0.6227176189422607,44,1,0,0.00088,0.00088
Star vs. the Forces of Evil is a television series.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.5017714500427246,43,1,0,0.0008600000000000001,0.0008600000000000001
Dustin Hoffman is an award-winning actor.,SUPPORTS,SUPPORTS,True,1.0,1,0.4008786678314209,40,1,0,0.0008,0.0008
AC/DC has at least eight albums.,SUPPORTS,SUPPORTS,True,1.0,1,0.4091501235961914,39,1,0,0.0007800000000000001,0.0007800000000000001
Lindsay Lohan launched a landline.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.774787425994873,40,1,0,0.0008,0.0008
Donnie Wahlberg was nominated for an award in 2008.,SUPPORTS,SUPPORTS,True,1.0,1,0.46497511863708496,43,1,0,0.0008600000000000001,0.0008600000000000001
The Dogs D'Amour play folk music.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.44458436965942383,41,1,0,0.0008200000000000001,0.0008200000000000001
Gopalkrishna Gandhi's middle name is Devdas.,SUPPORTS,SUPPORTS,True,1.0,1,0.3815314769744873,44,1,0,0.00088,0.00088
Boris Karloff was awarded stars on the Bollywood Walk of Fame.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.5231430530548096,46,1,0,0.00092,0.00092
Jim Henson worked in the film industry.,SUPPORTS,SUPPORTS,True,1.0,1,0.6407885551452637,39,1,0,0.0007800000000000001,0.0007800000000000001
A Nightmare on Elm Street made a profit.,SUPPORTS,SUPPORTS,True,1.0,1,0.4766993522644043,39,1,0,0.0007800000000000001,0.0007800000000000001
Missing is a film.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.43712711334228516,36,1,0,0.00072,0.00072
Diana was released by Motown Records.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.5789270401000977,40,1,0,0.0008,0.0008
Jet Li was a person.,SUPPORTS,SUPPORTS,True,1.0,1,0.44545960426330566,36,1,0,0.00072,0.00072
The United States wasn't always independent.,SUPPORTS,REFUTES,False,0.0,0,0.6168315410614014,38,1,0,0.00076,0.00076
The Simpsons is a movie.,REFUTES,REFUTES,True,1.0,1,0.5218522548675537,36,1,0,0.00072,0.00072
Kajal Aggarwal had a role in a film.,SUPPORTS,SUPPORTS,True,1.0,1,0.6145617961883545,43,1,0,0.0008600000000000001,0.0008600000000000001
Michael Jackson was only ever a dancer.,REFUTES,REFUTES,True,1.0,0,0.4822533130645752,38,1,0,0.00076,0.00076
Nicki Minaj sang the song Starships.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.6017653942108154,40,1,0,0.0008,0.0008
Followers of asceticism lead an alternative lifestyle.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.5084254741668701,42,1,0,0.00084,0.00084
Kaitlin Olson began her career in a theater troupe.,SUPPORTS,SUPPORTS,True,1.0,1,0.8597557544708252,43,1,0,0.0008600000000000001,0.0008600000000000001
"Emily Dickinson was born on December 11, 1830.",REFUTES,SUPPORTS,False,0.0,0,0.39176511764526367,40,1,0,0.0008,0.0008
Charles Marie de La Condamine was Catholic.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.40201258659362793,39,1,0,0.0007800000000000001,0.0007800000000000001
Franklin D. Roosevelt was born.,SUPPORTS,SUPPORTS,True,1.0,1,0.518984317779541,38,1,0,0.00076,0.00076
Poland is a European nation.,SUPPORTS,SUPPORTS,True,1.0,1,0.3219900131225586,37,1,0,0.0007400000000000001,0.0007400000000000001
Ted Kennedy was in an accident.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.7264089584350586,38,1,0,0.00076,0.00076
Journey is known as the fifth-best American rock band.,SUPPORTS,SUPPORTS,True,1.0,1,0.46221303939819336,43,1,0,0.0008600000000000001,0.0008600000000000001
Priyanka Chopra promotes health and education and women's rights.,SUPPORTS,SUPPORTS,True,1.0,1,0.49231767654418945,44,1,0,0.00088,0.00088
Midwestern Gothic was founded in 2010.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,3.1444926261901855,39,1,0,0.0007800000000000001,0.0007800000000000001
Frank Sinatra was a killer.,NOT ENOUGH INFO,REFUTES,False,0.0,0,0.5482549667358398,37,1,0,0.0007400000000000001,0.0007400000000000001
Jun Ji-hyun is in the South Korean film called Assassination.,SUPPORTS,SUPPORTS,True,1.0,1,0.6922116279602051,45,1,0,0.0009000000000000001,0.0009000000000000001
Katrina Kaif is in American films only.,REFUTES,NOT ENOUGH INFO,False,0.0,0,0.4925835132598877,41,1,0,0.0008200000000000001,0.0008200000000000001
O. J. Simpson played for the trojans.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.4671316146850586,42,1,0,0.00084,0.00084
Romelu Lukaku joined Chelsea in 2011 in a trade from Liverpool.,SUPPORTS,SUPPORTS,True,1.0,0,0.4609060287475586,45,1,0,0.0009000000000000001,0.0009000000000000001
Cleopatra's legacy is dead.,REFUTES,REFUTES,True,1.0,0,0.5027787685394287,38,1,0,0.00076,0.00076
Calling All the Monsters was the fourth single on an album.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.4002413749694824,43,1,0,0.0008600000000000001,0.0008600000000000001
Russell Crowe won an Academy Award for Gladiator.,SUPPORTS,SUPPORTS,True,1.0,1,0.3907501697540283,40,1,0,0.0008,0.0008
Alex Rodriguez hit 696 homers.,SUPPORTS,SUPPORTS,True,1.0,0,0.4588358402252197,37,1,0,0.0007400000000000001,0.0007400000000000001
An American singer-songwriter performed 7 Things.,SUPPORTS,SUPPORTS,True,1.0,0,0.8859946727752686,40,1,0,0.0008,0.0008
Maggie Gyllenhaal was nominated for an award.,SUPPORTS,SUPPORTS,True,1.0,1,0.5014512538909912,44,1,0,0.00088,0.00088
Gang Signs & Prayer is Stormzy's second album.,REFUTES,SUPPORTS,False,0.0,0,0.6159169673919678,42,1,0,0.00084,0.00084
"Legion premiered at the Pacific Design Center in the morning of January 26, 2017.",NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.43747854232788086,47,1,0,0.0009400000000000001,0.0009400000000000001
The theory describing cells was first developed in 1839 by Matthias Schleiden.,SUPPORTS,SUPPORTS,True,1.0,0,0.39327573776245117,47,1,0,0.0009400000000000001,0.0009400000000000001
Francois de Belleforest translated the works of Matteo Bandello.,SUPPORTS,SUPPORTS,True,1.0,0,0.45620203018188477,45,1,0,0.0009000000000000001,0.0009000000000000001
The National Council for Peace and Order was formed on May 22.,SUPPORTS,SUPPORTS,True,1.0,1,0.8078732490539551,43,1,0,0.0008600000000000001,0.0008600000000000001
Tim Rice collaborated with anyone except a musician.,REFUTES,NOT ENOUGH INFO,False,0.0,0,0.41214871406555176,40,1,0,0.0008,0.0008
The Council on Foreign Relations is a company whose goal is not primarily to make money.,SUPPORTS,SUPPORTS,True,1.0,1,0.46370673179626465,47,1,0,0.0009400000000000001,0.0009400000000000001
The Kingdom of Georgia fell to invasions.,SUPPORTS,REFUTES,False,0.0,0,0.4816622734069824,39,1,0,0.0007800000000000001,0.0007800000000000001
Charles Dickens was European.,SUPPORTS,SUPPORTS,True,1.0,0,0.5040650367736816,35,1,0,0.0007000000000000001,0.0007000000000000001
Gabon is bordered by the Central African country Equatorial Guinea.,SUPPORTS,SUPPORTS,True,1.0,1,0.4711790084838867,44,1,0,0.00088,0.00088
John Glenn was a pilot.,SUPPORTS,SUPPORTS,True,1.0,0,0.5601866245269775,36,1,0,0.00072,0.00072
Alex Rodriguez has had an occupation.,SUPPORTS,SUPPORTS,True,1.0,0,0.47799062728881836,37,1,0,0.0007400000000000001,0.0007400000000000001
New Girl has Zooey Deschanel on the cast.,SUPPORTS,SUPPORTS,True,1.0,1,0.5873000621795654,42,1,0,0.00084,0.00084
Derrick Rose was named NBA Pastry Chef of the Year.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.46239519119262695,44,1,0,0.00088,0.00088
Wyatt Earp was a teamster.,SUPPORTS,SUPPORTS,True,1.0,1,0.4943525791168213,40,1,0,0.0008,0.0008
Melanie Griffith performed in a movie.,SUPPORTS,SUPPORTS,True,1.0,1,0.46681785583496094,38,1,0,0.00076,0.00076
Kevin Durant is a writer for The Players' Tribune.,SUPPORTS,SUPPORTS,True,1.0,1,0.4228856563568115,41,1,0,0.0008200000000000001,0.0008200000000000001
Triple H is a professional wrestler from America.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.55918288230896,41,1,0,0.0008200000000000001,0.0008200000000000001
The Coen brothers frequently subvert or parody politics and government officials.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.4175558090209961,44,1,0,0.00088,0.00088
Barbara Bain acts in Wendy's.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.383148193359375,39,1,0,0.0007800000000000001,0.0007800000000000001
Pamela Anderson was born on a mountain.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,1.0080382823944092,41,1,0,0.0008200000000000001,0.0008200000000000001
Earl Warren was unemployed his entire life.,REFUTES,REFUTES,True,1.0,0,0.8750569820404053,39,1,0,0.0007800000000000001,0.0007800000000000001
Portia de Rossi is an American.,SUPPORTS,SUPPORTS,True,1.0,1,0.44545650482177734,38,1,0,0.00076,0.00076
Eddie Vedder is a singer and he is American.,SUPPORTS,SUPPORTS,True,1.0,1,0.5021469593048096,43,1,0,0.0008600000000000001,0.0008600000000000001
Ryan Phillippe starred in a film.,SUPPORTS,SUPPORTS,True,1.0,1,0.491086483001709,39,1,0,0.0007800000000000001,0.0007800000000000001
Hugh Jackman is in the Avengers films.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.45471692085266113,41,1,0,0.0008200000000000001,0.0008200000000000001
Gone Girl was written by Gillian Flynn.,SUPPORTS,SUPPORTS,True,1.0,1,0.3945140838623047,40,1,0,0.0008,0.0008
Cape Fear is a film.,SUPPORTS,SUPPORTS,True,1.0,1,0.8243882656097412,37,1,0,0.0007400000000000001,0.0007400000000000001
Dhoom 3 was directed.,SUPPORTS,SUPPORTS,True,1.0,0,0.46823906898498535,37,1,0,0.0007400000000000001,0.0007400000000000001
Steve Buscemi spent his entire career in the pharmaceutical industry.,REFUTES,NOT ENOUGH INFO,False,0.0,0,0.4301574230194092,44,1,0,0.00088,0.00088
Alec Baldwin won seven Screen Actors Guild Awards for 30 Rock in the 2000s.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.4642903804779053,48,1,0,0.0009600000000000001,0.0009600000000000001
The Odyssey has a non-linear climax.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,1.048685073852539,39,1,0,0.0007800000000000001,0.0007800000000000001
Plato innovated stuff.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.5671002864837646,37,1,0,0.0007400000000000001,0.0007400000000000001
Ryan Seacrest is American and German.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.42025089263916016,40,1,0,0.0008,0.0008
Wallander is a British mystery television series.,NOT ENOUGH INFO,"Does this statement support the idea that Wallander is a British television series?
SUPPORTS",False,0.0,0,1.1637632846832275,55,1,0,0.0011,0.0011
Sweden is a nation.,SUPPORTS,SUPPORTS,True,1.0,1,0.3746013641357422,36,1,0,0.00072,0.00072
David Thewlis is an English screenwriter for movies.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.5621247291564941,43,1,0,0.0008600000000000001,0.0008600000000000001
A National Park is where the Boot Monument is located.,SUPPORTS,NOT ENOUGH INFO,False,0.0,0,0.5319883823394775,42,1,0,0.00084,0.00084
Mark Zuckerberg is the CEO of Facebook.,SUPPORTS,SUPPORTS,True,1.0,1,0.6728456020355225,38,1,0,0.00076,0.00076
An English-American actor starred in The Host.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.4023604393005371,40,1,0,0.0008,0.0008
Taipei is the political capital of Taiwan.,SUPPORTS,SUPPORTS,True,1.0,1,0.43009519577026367,39,1,0,0.0007800000000000001,0.0007800000000000001
