question,answer,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
"Noble is a 2014 film written and directed by Stephen Bradley about the true life story of Christina Noble, a children's rights campaigner, charity worker and writer, it stars Sarah Greene, an Irish actress and singer, best known for portraying Helen McCormick in the West End and Broadway productions of what?",The Cripple of Inishmaan,Normal People (miniseries).,False,0.0,0,7.235505104064941,1206,4,0.0,0.024120000000000003,0.024120000000000003
Who was the English clergyman and Archbishop of Trier Otto von Ziegenhain that led the Battle of Tachov?,Henry Beaufort,Otto von Ziegenhain led the Battle of Tachov.,False,0.0,0,9.427552461624146,1235,5,0.0,0.0247,0.0247
Which fictional character in the Harry Potter film was played by Robbie Coltrane? ,Rubeus Hagrid,Rubeus Hagrid.,True,1.0,1,5.455594778060913,1460,3,0.0,0.029200000000000004,0.029200000000000004
"What Classification is the album by UK band Seccond Person, and a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol?",Trip hop,Britpop.,False,0.0,0,6.55735445022583,1226,4,0.0,0.024520000000000004,0.024520000000000004
"What actor from The Imitation Game also starred in ""Revolver"", ""RocknRolla"" and ""Sherlock Holmes""?",Mark Strong,Benedict Cumberbatch,False,0.0,0,16.1674165725708,2319,6,0.0,0.046380000000000005,0.046380000000000005
This 2006 Iowa Hawkeyes football coach played for University of Connecticut in 1976 as a linebacker?,Kirk Ferentz,"Yes, Kirk Ferentz played linebacker for the University of Connecticut in 1976.",False,0.3076923076923077,1,9.57054615020752,1998,5,0.0,0.03996,0.03996
Ikivo Animator integrates with a software application developed by which company?,Adobe Systems,Hypermedia.,False,0.0,0,4.108219861984253,723,3,0.0,0.01446,0.01446
What American actress born in 1912 did the violin master known for his sweet tone and gemütlich style compose a work for?,Marta Eggerth,Mary Pickford.,False,0.0,0,11.67122483253479,2403,5,0.0,0.048060000000000005,0.048060000000000005
"Which plant has more species, Teucrium or Atalaya?",Teucrium,Teucrium has more species.,False,0.4,1,6.937576532363892,1497,4,0.0,0.02994,0.02994
When was the British-American journalist and editor born Who was the editor in chief of The September?,3 November 1949,Unknown.,False,0.0,0,8.877708911895752,1484,5,0.0,0.02968,0.02968
The person who presented Mary Queen of Shops television series was appointed by who to lead a review into the future of Britain's high streets?,David Cameron,The BBC appointed Mary Portas to lead the review.,False,0.0,0,5.774105548858643,1335,3,0.0,0.0267,0.0267
"WDOM is currently owned by what private, coeducational, Roman Catholic university?",Providence College,Answer: Providence College.,False,0.8,1,4.68009090423584,966,3,0.0,0.01932,0.01932
"For what group did Maurice Gibb play a variety of instruments and co-wrote the song ""Stayin' Alive""?",Bee Gees,Answer: Bee Gees,False,0.8,1,5.25143837928772,1364,3,0.0,0.027280000000000002,0.027280000000000002
"Which processional racing driver was born on June 13, 1973 and worked alongside Adam Ferrara in an American television series?",Tanner Foust,No.,False,0.0,0,9.428553581237793,1999,5,0.0,0.03998,0.03998
Lost Cause is a song by an artist mostly known for what?,his musical composition,Beck.,False,0.0,0,4.006057262420654,884,3,0.0,0.01768,0.01768
"What song written by American songwriter Johnny Marks, made popular by Burl Ives, is one of the Top 25 most performed holiday songs written by ASCAP members?",A Holly Jolly Christmas,"""A Holly Jolly Christmas""",True,1.0,1,9.011004447937012,2035,5,0.0,0.04070000000000001,0.04070000000000001
"Don ""The Bull"" Adams was a bare-knuckle boxer, from Waltham Cross, Hertfordshire, in which UK country, at a planned fight at Holborn Stud Farm on Sunday, 26 October 1975, between himself and Roy “Pretty Boy” Shaw, was an English millionaire, real estate investor, author and businessman from the East End of London who was formerly a criminal and Category A prisoner?",England,Answer: England.,False,0.6666666666666666,1,9.402332305908203,1706,5,0.0,0.03412,0.03412
Which American rock band is from New Mexico Circa Survive or The Shins?,The Shins,The Shins.,True,1.0,1,6.65387749671936,1917,4,0.0,0.038340000000000006,0.038340000000000006
Who is the former quarterback and presenter of the halftime report during ESPN College Football Primetime?,Danny Kanell,Lee Corso.,False,0.0,0,5.218979120254517,765,3,0.0,0.0153,0.0153
What film star from the Twilight Saga is from England?,Robert Pattinson,Robert Pattinson.,True,1.0,1,5.258364915847778,1167,3,0.0,0.023340000000000003,0.023340000000000003
In what 2008 film directed by Tom Vaughan does Cameron Diaz appear? ,What Happens in Vegas,The Holiday.,False,0.0,0,9.624163627624512,1137,5,0.0,0.022740000000000003,0.022740000000000003
Are both Charles Band and M. Night Shyamalan known for making films with a comedic flair?,no,No.,True,1.0,1,6.9643213748931885,1413,4,0.0,0.028260000000000004,0.028260000000000004
Which Louisiana Governor presiding over speaker Ralph Norman Bauer was a singer and songwriter?,Jimmie Davis,Jimmie Davis.,True,1.0,1,9.619789600372314,1436,5,0.0,0.028720000000000002,0.028720000000000002
When did the team formerly known as the Renault team design the Lotus E20?,2012 Formula One season,2012.,False,0.4,0,4.707487106323242,1503,3,0.0,0.03006,0.03006
What is the name of an Afghanistan Sarbani tribe?,Alakozai,Durrani.,False,0.0,0,5.425861358642578,978,3,0.0,0.019560000000000004,0.019560000000000004
Are both Pecom 32 and Applix 1616 based in Australia?,no,No.,True,1.0,1,6.245286703109741,1043,4,0.0,0.02086,0.02086
"The Forerunner was a monthly magazine produced by Charlotte Perkins Gilman (best known as the writer of ""The Yellow Wallpaper""), a 6,000-word short story by American writer Charlotte Perkins Gilman, first published in The New England Magazine, in what year?",1892,1892.,True,1.0,1,7.846617937088013,1310,4,0.0,0.026200000000000005,0.026200000000000005
What timezone do the United States Minor Outlying Islands observe?,Samoa Time,UTC-12.,False,0.0,0,5.2295005321502686,931,3,0.0,0.01862,0.01862
Which Australian politician founded CARE Australia ,John Malcolm Fraser,Bob Hawke.,False,0.0,0,5.833985328674316,1914,3,0.0,0.03828000000000001,0.03828000000000001
Stefano Nava was a backup for which former right-back who now is the assistant coach for the Ukrainian national team?,Mauro Tassotti,"Alessandro Costacurta, who is now the assistant coach for AC Milan.",False,0.0,0,10.749900817871094,1781,5,0.0,0.035620000000000006,0.035620000000000006
The 1994–95 U.C. Sampdoria season included a midfielder who was of what nationality?,English,Italian.,False,0.0,0,8.806432962417603,1886,5,0.0,0.037720000000000004,0.037720000000000004
"Landon T. Clay (born Landon Thomas Clay) was an American businessman and founder of the Clay Mathematics Institute (CMI),  a private, non-profit foundation, based in Peterborough, New Hampshire, in which country?",United States,The Clay Mathematics Institute is based in the United Kingdom.,False,0.2,0,4.913727045059204,1159,3,0.0,0.023180000000000003,0.023180000000000003
Wonder World is the second studio album by a pop group formed by what producer?,Park Jin-young,No producer.,False,0.0,0,4.114913702011108,774,3,0.0,0.01548,0.01548
"Pibb Xtra and Pet, Inc., are made in which country?",United States,USA.,False,0.0,1,6.348574161529541,929,3,0.0,0.018580000000000003,0.018580000000000003
Jack Reynolds won his first super bowl with the niners  in which season ?,the 1981 season,1994.,False,0.0,0,9.111683130264282,2117,4,0.0,0.04234,0.04234
Kevin Brooks was born in a state bordered by what ocean?,Atlantic Ocean,Pacific Ocean.,False,0.5,0,9.112817287445068,3208,5,0.0,0.06416,0.06416
What is the middle name of the leader of Quantrill's Raiders?,Clarke,Clarke.,True,1.0,1,8.191460609436035,1820,5,0.0,0.0364,0.0364
What profession does Adrian Brunel and Richard Oswald have in common?,director,Film director.,False,0.6666666666666666,1,6.55097222328186,950,4,0.0,0.019,0.019
"Frank Lucien Hale once accompanied a famous American aviator nicknamed Slim, Lucky Lindy, and The Lone Eagle on what?",a transcontinental flight,A transcontinental flight.,True,1.0,1,9.11065411567688,2847,4,0.0,0.056940000000000004,0.056940000000000004
Singwango Secondary School had a sister school in a census-designated place in the town of North Hempstead in what county of New York?,Nassau County,Nassau County.,True,1.0,1,10.749333381652832,1175,5,0.0,0.023500000000000004,0.023500000000000004
"Which university is a public research university, Ashesi University or National Autonomous University of Mexico?",National Autonomous University of Mexico,National Autonomous University of Mexico.,True,1.0,1,7.775766372680664,1766,4,0.0,0.035320000000000004,0.035320000000000004
What Norwegian band has played at Sparebanken Sør Arena?,A-ha,A-ha.,True,1.0,1,6.14066481590271,1307,3,0.0,0.026140000000000004,0.026140000000000004
Are both Thomas Reiter and Sigmund Jähn astronauts?,no,Yes.,False,0.0,0,7.7833356857299805,981,4,0.0,0.019620000000000002,0.019620000000000002
Where did the helicopter crash take place that killed Vic Morrow?,"Valencia, Santa Clarita, California","Santa Clarita, California.",False,0.8571428571428571,1,4.490341424942017,832,3,0.0,0.016640000000000002,0.016640000000000002
"Clarence ""Keith"" Marquis Mitchell, is a former American football linebacker in which rganization,who played for the Houston Texans, a professional American football team based in Houston, Texas?",National Football League,Houston Texans.,False,0.0,0,5.7328901290893555,845,3,0.0,0.016900000000000002,0.016900000000000002
" 1889–90 Burnley F.C. season had success in what football knockout tournament involving teams from Lancashire, England",Lancashire County Football Association Cup,Answer: Lancashire Senior Cup.,False,0.4444444444444445,0,10.142963886260986,1450,4,0.0,0.029000000000000005,0.029000000000000005
Last in Line reunited in 2010 with the guitarist who was of what nationality?,Northern Irish,American,False,0.0,0,12.385242223739624,1433,5,0.0,0.028659999999999998,0.028659999999999998
Who owns the news television channel who Andrew Ehinger is a reporter for?,Altice USA,Search for more information about the news television channel.,False,0.0,0,9.153500318527222,976,5,0.0,0.019520000000000003,0.019520000000000003
"What distinctive surface is the historic Merton Street, that runs parallel to High Street in the southeastern university city of Oxford, England?",cobbled,Cobbled.,True,1.0,1,5.014862298965454,925,3,0.0,0.018500000000000003,0.018500000000000003
I'll Sail My Ship Alone has been recorded by which American country music singer?,Mickey Leroy Gilley,Moon Mullican.,False,0.0,0,4.400131940841675,837,3,0.0,0.01674,0.01674
"When was the American rapper from St. Louis, Missouri born who has guest appeared in New Jack City, Pt. II and who's one of the album is ""Country Grammar""?","November 2, 1974","September 12, 1987",False,0.0,0,4.602921724319458,887,3,0.0,0.01774,0.01774
"Although best known for playing Jesus, Brian Deacon also appeared in this 1972 British film by Michael Apted?",The Triple Echo,The Ruling Class.,False,0.0,0,6.50933051109314,1263,4,0.0,0.02526,0.02526
 Jagdgeschwader 52 was an aircraft used by the flying ace nicknamed what?,Bubi,Hannes Trautloft.,False,0.0,0,7.945658445358276,1111,4,0.0,0.02222,0.02222
Nexus and Girlfriends are both what?,magazine,Nexus and Girlfriends are both different.,False,0.0,0,6.629217624664307,1415,4,0.0,0.0283,0.0283
What FA Trophy final was the 44th final where Grimsby Town was beaten?,2013 FA Trophy Final,"The 44th FA Trophy final where Grimsby Town was beaten was the 2013 FA Trophy Final, which was won by Wrexham.",False,0.34782608695652173,1,9.622360467910767,1208,5,0.0,0.024160000000000004,0.024160000000000004
"Rear Admiral (UH) Raymond A. Spicer, United States Navy, is the former director of the White House Military Office and reported as Deputy Assistant to the President and Director, White House Military Office in March 2007, and was succeeded by which American politician and member of the Democratic Party who served as the Director of the White House Military Office from January to May 2009, as the 17th United States Secretary of the Army?",Louis Caldera,"Louis Caldera, a member of the Democratic Party.",False,0.5,1,9.008827209472656,1383,5,0.0,0.027660000000000004,0.027660000000000004
Who directed the 2010 film in which Otto Jespersen starred ? ,"André Øvredal,",André Øvredal.,True,1.0,1,6.535614252090454,785,3,0.0,0.015700000000000002,0.015700000000000002
Bernadette Flynn was a dancer in the style that took its influence from what French style?,quadrilles,French quadrilles.,False,0.6666666666666666,0,8.918568849563599,1945,5,0.0,0.038900000000000004,0.038900000000000004
Were Andy Cairns and Richie Furay both members of the same band?,no,No.,True,1.0,0,6.076904535293579,1329,4,0.0,0.026580000000000006,0.026580000000000006
Are Vincenzo Bellini and Nikolai Rimsky-Korsakov both composers?,yes,Yes.,True,1.0,1,8.29376220703125,2873,4,0.0,0.05746,0.05746
"What role is the twin of Elaine Thompson most notable for playing in the television series ""Casualty""?  ",Charlie Fairhead,Unknown.,False,0.0,0,7.739284515380859,2133,4,0.0,0.042660000000000003,0.042660000000000003
Who costarred as John Carroll Lynch's brother in his most recent film?,Nick Offerman,Mark Rylance.,False,0.0,0,10.646036386489868,2069,5,0.0,0.04138000000000001,0.04138000000000001
Specials for Cher's Do You Believe? tour were filmed a multi-purpose arena located on what?,Las Vegas Strip,MGM Grand Garden Arena.,False,0.0,0,5.794236898422241,921,3,0.0,0.018420000000000002,0.018420000000000002
