question,answer,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
"Noble is a 2014 film written and directed by Stephen Bradley about the true life story of Christina Noble, a children's rights campaigner, charity worker and writer, it stars Sarah Greene, an Irish actress and singer, best known for portraying Helen McCormick in the West End and Broadway productions of what?",The Cripple of Inishmaan,Once.,False,0.0,0,0.5253615379333496,77,1,0,0.0015400000000000001,0.0015400000000000001
Who was the English clergyman and Archbishop of Trier Otto von Ziegenhain that led the Battle of Tachov?,Henry Beaufort,Otto von Ziegenhain.,False,0.0,0,0.5400209426879883,51,1,0,0.00102,0.00102
Which fictional character in the Harry Potter film was played by Robbie Coltrane? ,Rubeus Hagrid,Hagrid.,False,0.6666666666666666,1,1.9426133632659912,36,1,0,0.00072,0.00072
"What Classification is the album by UK band Seccond Person, and a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol?",Trip hop,Trip-hop.,False,0.0,1,0.7770910263061523,52,1,0,0.0010400000000000001,0.0010400000000000001
"What actor from The Imitation Game also starred in ""Revolver"", ""RocknRolla"" and ""Sherlock Holmes""?",Mark Strong,Benedict Cumberbatch.,False,0.0,0,0.816626787185669,47,1,0,0.0009400000000000001,0.0009400000000000001
This 2006 Iowa Hawkeyes football coach played for University of Connecticut in 1976 as a linebacker?,Kirk Ferentz,Kirk Ferentz,True,1.0,1,0.5301766395568848,38,1,0,0.00076,0.00076
Ikivo Animator integrates with a software application developed by which company?,Adobe Systems,Adobe,False,0.6666666666666666,1,0.4912128448486328,32,1,0,0.00064,0.00064
What American actress born in 1912 did the violin master known for his sweet tone and gemütlich style compose a work for?,Marta Eggerth,Marilyn Monroe.,False,0.0,0,0.5584752559661865,46,1,0,0.00092,0.00092
"Which plant has more species, Teucrium or Atalaya?",Teucrium,Teucrium,True,1.0,1,0.40807056427001953,32,1,0,0.00064,0.00064
When was the British-American journalist and editor born Who was the editor in chief of The September?,3 November 1949,The British-American journalist and editor was born in 1967. He was the editor in chief of The September from 1997 to 2020.,False,0.0,0,1.5351183414459229,61,1,0,0.0012200000000000002,0.0012200000000000002
The person who presented Mary Queen of Shops television series was appointed by who to lead a review into the future of Britain's high streets?,David Cameron,Theresa May,False,0.0,0,0.5086808204650879,46,1,0,0.00092,0.00092
"WDOM is currently owned by what private, coeducational, Roman Catholic university?",Providence College,Georgetown University.,False,0.0,0,0.6111445426940918,36,1,0,0.00072,0.00072
"For what group did Maurice Gibb play a variety of instruments and co-wrote the song ""Stayin' Alive""?",Bee Gees,The Bee Gees,True,1.0,1,0.700808048248291,43,1,0,0.0008600000000000001,0.0008600000000000001
"Which processional racing driver was born on June 13, 1973 and worked alongside Adam Ferrara in an American television series?",Tanner Foust,Rutledge Wood.,False,0.0,0,0.5259113311767578,44,1,0,0.00088,0.00088
Lost Cause is a song by an artist mostly known for what?,his musical composition,Eminem,False,0.0,0,0.5591542720794678,31,1,0,0.00062,0.00062
"What song written by American songwriter Johnny Marks, made popular by Burl Ives, is one of the Top 25 most performed holiday songs written by ASCAP members?",A Holly Jolly Christmas,"""A Holly Jolly Christmas"".",True,1.0,1,0.7209436893463135,55,1,0,0.0011,0.0011
"Don ""The Bull"" Adams was a bare-knuckle boxer, from Waltham Cross, Hertfordshire, in which UK country, at a planned fight at Holborn Stud Farm on Sunday, 26 October 1975, between himself and Roy “Pretty Boy” Shaw, was an English millionaire, real estate investor, author and businessman from the East End of London who was formerly a criminal and Category A prisoner?",England,England,True,1.0,1,0.47547245025634766,101,1,0,0.00202,0.00202
Which American rock band is from New Mexico Circa Survive or The Shins?,The Shins,The Shins,True,1.0,1,0.5286500453948975,34,1,0,0.00068,0.00068
Who is the former quarterback and presenter of the halftime report during ESPN College Football Primetime?,Danny Kanell,Lee Corso.,False,0.0,0,0.511254072189331,37,1,0,0.0007400000000000001,0.0007400000000000001
What film star from the Twilight Saga is from England?,Robert Pattinson,Robert Pattinson.,True,1.0,1,0.5784945487976074,30,1,0,0.0006000000000000001,0.0006000000000000001
In what 2008 film directed by Tom Vaughan does Cameron Diaz appear? ,What Happens in Vegas,What Happens in Vegas.,True,1.0,1,0.7054753303527832,35,1,0,0.0007000000000000001,0.0007000000000000001
Are both Charles Band and M. Night Shyamalan known for making films with a comedic flair?,no,No.,True,1.0,1,0.32305359840393066,37,1,0,0.0007400000000000001,0.0007400000000000001
Which Louisiana Governor presiding over speaker Ralph Norman Bauer was a singer and songwriter?,Jimmie Davis,Kathleen Blanco.,False,0.0,0,0.8386015892028809,37,1,0,0.0007400000000000001,0.0007400000000000001
When did the team formerly known as the Renault team design the Lotus E20?,2012 Formula One season,2012,False,0.4,0,0.39568281173706055,32,1,0,0.00064,0.00064
What is the name of an Afghanistan Sarbani tribe?,Alakozai,Pashtun.,False,0.0,0,1.0988545417785645,31,1,0,0.00062,0.00062
Are both Pecom 32 and Applix 1616 based in Australia?,no,No.,True,1.0,1,0.7913699150085449,31,1,0,0.00062,0.00062
