question,answer,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
"Noble is a 2014 film written and directed by Stephen Bradley about the true life story of Christina Noble, a children's rights campaigner, charity worker and writer, it stars Sarah Greene, an Irish actress and singer, best known for portraying Helen McCormick in the West End and Broadway productions of what?",The Cripple of Inishmaan,Sarah Greene is best known for her role as Helen McCormick in the West End and Broadway productions of The Cripple of Inishmaan.,False,0.25,1,5.095346689224243,522,5,0,0.010440000000000001,0.010440000000000001
Who was the English clergyman and Archbishop of Trier Otto von Ziegenhain that led the Battle of Tachov?,Henry Beaufort, Otto von Ziegenhain led the Battle of Tachov.,False,0.0,0,6.855832099914551,526,3,0,0.010520000000000002,0.010520000000000002
Which fictional character in the Harry Potter film was played by Robbie Coltrane? ,Rubeus Hagrid, Rubeus Hagrid,True,1.0,1,5.06173849105835,485,3,0,0.0097,0.0097
"What Classification is the album by UK band Seccond Person, and a musical genre that originated in the early 1990s in the United Kingdom, especially Bristol?",Trip hop, Trip-hop,False,0.0,1,4.876337766647339,489,2,0,0.00978,0.00978
"What actor from The Imitation Game also starred in ""Revolver"", ""RocknRolla"" and ""Sherlock Holmes""?",Mark Strong, Benedict Cumberbatch,False,0.0,0,8.778446674346924,575,3,0,0.011500000000000002,0.011500000000000002
This 2006 Iowa Hawkeyes football coach played for University of Connecticut in 1976 as a linebacker?,Kirk Ferentz, Kirk Ferentz,True,1.0,1,2.828209400177002,430,2,0,0.0086,0.0086
Ikivo Animator integrates with a software application developed by which company?,Adobe Systems, Ikivo AB,False,0.0,0,2.3875370025634766,415,2,0,0.0083,0.0083
What American actress born in 1912 did the violin master known for his sweet tone and gemütlich style compose a work for?,Marta Eggerth, No,False,0.0,0,7.092803716659546,528,3,0,0.010560000000000002,0.010560000000000002
"Which plant has more species, Teucrium or Atalaya?",Teucrium, Teucrium,True,1.0,1,4.402829647064209,456,3,0,0.009120000000000001,0.009120000000000001
When was the British-American journalist and editor born Who was the editor in chief of The September?,3 November 1949, 1958,False,0.0,0,2.73759126663208,434,2,0,0.00868,0.00868
The person who presented Mary Queen of Shops television series was appointed by who to lead a review into the future of Britain's high streets?,David Cameron, British government,False,0.0,0,4.403299570083618,478,3,0,0.00956,0.00956
"WDOM is currently owned by what private, coeducational, Roman Catholic university?",Providence College, University of Notre Dame,False,0.0,0,3.1626877784729004,436,3,0,0.00872,0.00872
"For what group did Maurice Gibb play a variety of instruments and co-wrote the song ""Stayin' Alive""?",Bee Gees, The Bee Gees,True,1.0,1,4.478404760360718,472,2,0,0.00944,0.00944
"Which processional racing driver was born on June 13, 1973 and worked alongside Adam Ferrara in an American television series?",Tanner Foust, Tanner Foust,True,1.0,1,4.042208194732666,467,3,0,0.009340000000000001,0.009340000000000001
Lost Cause is a song by an artist mostly known for what?,his musical composition, Alternative rock,False,0.0,0,3.9420270919799805,449,3,0,0.00898,0.00898
"What song written by American songwriter Johnny Marks, made popular by Burl Ives, is one of the Top 25 most performed holiday songs written by ASCAP members?",A Holly Jolly Christmas," ""A Holly Jolly Christmas""",True,1.0,1,6.504959344863892,515,3,0,0.0103,0.0103
"Don ""The Bull"" Adams was a bare-knuckle boxer, from Waltham Cross, Hertfordshire, in which UK country, at a planned fight at Holborn Stud Farm on Sunday, 26 October 1975, between himself and Roy “Pretty Boy” Shaw, was an English millionaire, real estate investor, author and businessman from the East End of London who was formerly a criminal and Category A prisoner?",England, United Kingdom,False,0.0,0,3.581019639968872,507,2,0,0.010140000000000001,0.010140000000000001
Which American rock band is from New Mexico Circa Survive or The Shins?,The Shins, The Shins,True,1.0,1,5.006641149520874,449,3,0,0.00898,0.00898
Who is the former quarterback and presenter of the halftime report during ESPN College Football Primetime?,Danny Kanell, Jesse Palmer,False,0.0,0,3.946838140487671,467,3,0,0.009340000000000001,0.009340000000000001
What film star from the Twilight Saga is from England?,Robert Pattinson, Robert Pattinson,True,1.0,1,3.0714471340179443,426,3,0,0.008520000000000002,0.008520000000000002
In what 2008 film directed by Tom Vaughan does Cameron Diaz appear? ,What Happens in Vegas, What Happens in Vegas,True,1.0,1,3.685070276260376,459,3,0,0.00918,0.00918
Are both Charles Band and M. Night Shyamalan known for making films with a comedic flair?,no, Yes,False,0.0,0,8.122434139251709,571,3,0,0.011420000000000001,0.011420000000000001
Which Louisiana Governor presiding over speaker Ralph Norman Bauer was a singer and songwriter?,Jimmie Davis, No,False,0.0,0,3.3767988681793213,439,2,0,0.008780000000000001,0.008780000000000001
When did the team formerly known as the Renault team design the Lotus E20?,2012 Formula One season, 2012,False,0.4,0,5.220870733261108,484,3,0,0.009680000000000001,0.009680000000000001
What is the name of an Afghanistan Sarbani tribe?,Alakozai, Sarbani Pashtun,False,0.0,0,3.577911376953125,443,2,0,0.008860000000000002,0.008860000000000002
Are both Pecom 32 and Applix 1616 based in Australia?,no, No,True,1.0,1,4.104238748550415,464,2,0,0.00928,0.00928
"The Forerunner was a monthly magazine produced by Charlotte Perkins Gilman (best known as the writer of ""The Yellow Wallpaper""), a 6,000-word short story by American writer Charlotte Perkins Gilman, first published in The New England Magazine, in what year?",1892, 1892,True,1.0,1,3.9599263668060303,498,2,0,0.00996,0.00996
What timezone do the United States Minor Outlying Islands observe?,Samoa Time, Hawaii-Aleutian Time Zone (HST),False,0.3333333333333333,0,6.962430715560913,468,2,0,0.00936,0.00936
Which Australian politician founded CARE Australia ,John Malcolm Fraser," Arthur Calwell, William Morris Hughes, John McEwen, and John Dedman",False,0.15384615384615383,0,5.117784261703491,463,2,0,0.009260000000000001,0.009260000000000001
Stefano Nava was a backup for which former right-back who now is the assistant coach for the Ukrainian national team?,Mauro Tassotti, Yes,False,0.0,0,4.772679805755615,486,3,0,0.009720000000000001,0.009720000000000001
The 1994–95 U.C. Sampdoria season included a midfielder who was of what nationality?,English, Italian,False,0.0,0,5.176412582397461,481,3,0,0.00962,0.00962
"Landon T. Clay (born Landon Thomas Clay) was an American businessman and founder of the Clay Mathematics Institute (CMI),  a private, non-profit foundation, based in Peterborough, New Hampshire, in which country?",United States, United States of America,False,0.6666666666666666,1,2.892636775970459,477,2,0,0.009540000000000002,0.009540000000000002
Wonder World is the second studio album by a pop group formed by what producer?,Park Jin-young, Max Martin,False,0.0,0,3.580317974090576,444,3,0,0.00888,0.00888
"Pibb Xtra and Pet, Inc., are made in which country?",United States, United States,True,1.0,1,4.782202243804932,447,2,0,0.00894,0.00894
Jack Reynolds won his first super bowl with the niners  in which season ?,the 1981 season, 1981-1982 season,False,0.5,0,2.770094871520996,424,2,0,0.008480000000000001,0.008480000000000001
Kevin Brooks was born in a state bordered by what ocean?,Atlantic Ocean, Pacific Ocean,False,0.5,0,3.7891626358032227,429,3,0,0.00858,0.00858
What is the middle name of the leader of Quantrill's Raiders?,Clarke, Clarke,True,1.0,1,3.4268295764923096,444,3,0,0.00888,0.00888
What profession does Adrian Brunel and Richard Oswald have in common?,director," Film director, producer, and screenwriter",False,0.33333333333333337,0,7.267210960388184,511,3,0,0.010220000000000002,0.010220000000000002
"Frank Lucien Hale once accompanied a famous American aviator nicknamed Slim, Lucky Lindy, and The Lone Eagle on what?",a transcontinental flight, A test flight of the Spirit of St. Louis,False,0.22222222222222224,0,5.938990592956543,547,3,0,0.01094,0.01094
Singwango Secondary School had a sister school in a census-designated place in the town of North Hempstead in what county of New York?,Nassau County," Nassau County, New York",False,0.6666666666666666,1,3.75705623626709,481,3,0,0.00962,0.00962
"Which university is a public research university, Ashesi University or National Autonomous University of Mexico?",National Autonomous University of Mexico, National Autonomous University of Mexico,True,1.0,1,3.4965837001800537,454,3,0,0.009080000000000001,0.009080000000000001
What Norwegian band has played at Sparebanken Sør Arena?,A-ha, A-ha,True,1.0,1,3.1562509536743164,434,2,0,0.00868,0.00868
Are both Thomas Reiter and Sigmund Jähn astronauts?,no, Yes,False,0.0,0,5.735394239425659,484,2,0,0.009680000000000001,0.009680000000000001
Where did the helicopter crash take place that killed Vic Morrow?,"Valencia, Santa Clarita, California"," Indian Dunes area of the Santa Susana Mountains, California",False,0.3333333333333333,0,4.516651153564453,458,3,0,0.009160000000000001,0.009160000000000001
"Clarence ""Keith"" Marquis Mitchell, is a former American football linebacker in which rganization,who played for the Houston Texans, a professional American football team based in Houston, Texas?",National Football League, Houston Texans,False,0.0,0,3.2086141109466553,461,2,0,0.00922,0.00922
" 1889–90 Burnley F.C. season had success in what football knockout tournament involving teams from Lancashire, England",Lancashire County Football Association Cup, Burnley F.C. won the Lancashire Cup.,False,0.4000000000000001,0,7.141602516174316,537,3,0,0.010740000000000001,0.010740000000000001
Last in Line reunited in 2010 with the guitarist who was of what nationality?,Northern Irish, Northern Irish,True,1.0,1,3.9584391117095947,466,3,0,0.00932,0.00932
Who owns the news television channel who Andrew Ehinger is a reporter for?,Altice USA, The Walt Disney Company,False,0.0,0,2.9975814819335938,425,2,0,0.0085,0.0085
"What distinctive surface is the historic Merton Street, that runs parallel to High Street in the southeastern university city of Oxford, England?",cobbled, Cobblestone,False,0.0,0,4.745415449142456,484,3,0,0.009680000000000001,0.009680000000000001
I'll Sail My Ship Alone has been recorded by which American country music singer?,Mickey Leroy Gilley, Hank Williams,False,0.0,0,5.5279221534729,480,3,0,0.009600000000000001,0.009600000000000001
"When was the American rapper from St. Louis, Missouri born who has guest appeared in New Jack City, Pt. II and who's one of the album is ""Country Grammar""?","November 2, 1974"," November 2, 1974",True,1.0,1,4.794268608093262,436,2,0,0.00872,0.00872
