question,answer,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
"""What was the first name of the character """"Rigsby"""" in the TV comedy """"Rising Damp""""?""","{'aliases': array(['Ruperts', 'Rupert', 'RUPERT', 'Rupert (disambiguation)'],
      dtype=object), 'normalized_aliases': array(['rupert', 'rupert disambiguation', 'ruperts'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'rupert', 'type': 'WikipediaEntity', 'value': 'RUPERT'}",Agent stopped due to iteration limit or time limit.,False,0.0,0,23.22003722190857,5676.0,9.0,0.0,0.011352,0.011352
What seven letter word is the name of the chart containing letters of various sizes commonly found in doctor's surgeries for eye sight tests ?,"{'aliases': array(['Snellen (disambiguation)', 'SNELLEN', 'Snellen'], dtype=object), 'normalized_aliases': array(['snellen', 'snellen disambiguation'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'snellen', 'type': 'WikipediaEntity', 'value': 'SNELLEN'}",Agent stopped due to iteration limit or time limit.,False,0.0,0,22.953819751739502,13692.0,9.0,0.0,0.027384000000000002,0.027384000000000002
Which Asian capital city is known as Krung Thep to its inhabitants and stands on the Chao Phraya River?,"{'aliases': array(['Krung-devamahanagara amararatanakosindra mahindrayudhya mahatilakabhava navaratanarajadhani puriramasya utamarajanivesana mahasthana amaravimana avatarasthitya shakrasdattiya vishnukarmaprasiddhi',
       'Capital of Thailand', 'Bangkok Bus',
       'Bangkok Special Governed District', 'Bangkok Province',
       'KrungThepMahaNakhon', 'Krung Thep Municipality, Thailand',
       'Bangkok province', 'Bangkock', 'BANGKOK',
       'Krungthepmahanakornamornratanakosinmahintarayutthayamahadilokphopnopparatrajathaniburiromudomrajaniwesmahasatharn',
       'Bangkok/weatherbox',
       'Krungthep Mahanakhon Amonrattanakosin Mahintharayutthaya Mahadilokphop Noppharatratchathani Burirom-udomratchaniwet Mahasathan Amonphiman Awatansathit Sakkathattiya Witsanu Kamprasit',
       'Bangkok, Thailand',
       'Krungthepmahanakornamornratanakosinmahintarayutthayamahadilokphop nopparatrajathaniburiromudomrajaniwesmahasatharn amornphimarnavatarnsathitsakkattiyavisanukamprasit',
       'Bangkok', 'UN/LOCODE:THBKK',
       'Krung Thep Mahanakhon Province, Thailand',
       'Krung Thep municipality, Thailand', 'กรุงเทพมหานคร',
       'Krung Thep Mahanakhon Amon Rattanakosin Mahinthara Ayuthaya Mahadilok Phop Noppharat Ratchathani Burirom Udomratchaniwet Mahasathan Amon Piman Awatan Sathit Sakkathattiya Witsanukam Prasit',
       'Krungthepmahanakhon Amonrattanakosin Mahintharayutthaya Mahadilokphop Noppharatratchathaniburirom Udomratchaniwetmahasathan Amonphimanawatansathit Sakkathattiyawitsanukamprasit',
       'Krung Thep Maha Nakhon', 'Culture of Bangkok',
       'Krungthepmahanakornamornratanakosinmahintarayutthayamahadilokphopnopparatrajathaniburiromudomrajaniwesmahasatharnamornphimar- navatarnsathitsakkattiyavisanukamprasit',
       'Krungthepmahanakornamornratanakosinmahintarayutthayamahadilokphopnopparatrajathaniburiromudomrajaniwesmahasatharnamornphimarnavatarnsathitsakkattiyavisanukamprasit',
       'Bangcock', 'Buses in bangkok',
       'Krung thep mahanakhon bovorn ratanakosin mahintharayutthaya mahadilok pop noparatratchathani burirom udomratchanivetmahasathan amornpiman avatarnsathit sakkathattiyavisnukarmprasit',
       'Krung-dēvamahānagara amararatanakosindra mahindrayudhyā mahātilakabhava navaratanarājadhānī purīrāmasya utamarājanivēsana mahāsthāna amaravimāna avatārasthitya shakrasdattiya vishnukarmaprasiddhi',
       'Krungthep mahanakhon amon rattanakosin mahintara ayuthaya mahadilok popnopparat ratchathani burirom udomratchaniwet mahasathan amonpiman avatansathit sakkathattiya visnukamprasit',
       'Krung Thep Mahanakhon Amon Rattanakosin Mahinthara Yuthaya Mahadilok Phop Noppharat Ratchathani Burirom Udomratchaniwet Mahasathan Amon Piman Awatan Sathit Sakkathattiya Witsanukam Prasit',
       'Krung Thep municipality', 'Bankok', 'Bang Makok',
       'Krungthepmahanakornamornratanakosinmahintarayutth...',
       'Krung Thep Maha Nakhon Amon Rattanakosin Mahinthara Ayutthaya Mahadilok Phop Noppharat Ratchathani Burirom Udom Ratchaniwet Mahasathan Amon Phiman Awatan Sathit Sakkathattiya Witsanu Kamprasit'],
      dtype=object), 'normalized_aliases': array(['krung dēvamahānagara amararatanakosindra mahindrayudhyā mahātilakabhava navaratanarājadhānī purīrāmasya utamarājanivēsana mahāsthāna amaravimāna avatārasthitya shakrasdattiya vishnukarmaprasiddhi',
       'krung thep mahanakhon province thailand',
       'krungthepmahanakornamornratanakosinmahintarayutthayamahadilokphopnopparatrajathaniburiromudomrajaniwesmahasatharnamornphimar navatarnsathitsakkattiyavisanukamprasit',
       'un locode thbkk', 'bangkok bus', 'bankok',
       'krungthepmahanakornamornratanakosinmahintarayutthayamahadilokphopnopparatrajathaniburiromudomrajaniwesmahasatharnamornphimarnavatarnsathitsakkattiyavisanukamprasit',
       'krung thep municipality thailand', 'bangkok',
       'krungthep mahanakhon amonrattanakosin mahintharayutthaya mahadilokphop noppharatratchathani burirom udomratchaniwet mahasathan amonphiman awatansathit sakkathattiya witsanu kamprasit',
       'bangcock', 'bangkok special governed district',
       'krung thep municipality',
       'krung thep maha nakhon amon rattanakosin mahinthara ayutthaya mahadilok phop noppharat ratchathani burirom udom ratchaniwet mahasathan amon phiman awatan sathit sakkathattiya witsanu kamprasit',
       'krungthepmahanakhon amonrattanakosin mahintharayutthaya mahadilokphop noppharatratchathaniburirom udomratchaniwetmahasathan amonphimanawatansathit sakkathattiyawitsanukamprasit',
       'bangkok thailand', 'buses in bangkok', 'bangkock',
       'krung thep maha nakhon',
       'krungthepmahanakornamornratanakosinmahintarayutth',
       'krung devamahanagara amararatanakosindra mahindrayudhya mahatilakabhava navaratanarajadhani puriramasya utamarajanivesana mahasthana amaravimana avatarasthitya shakrasdattiya vishnukarmaprasiddhi',
       'krungthepmahanakornamornratanakosinmahintarayutthayamahadilokphop nopparatrajathaniburiromudomrajaniwesmahasatharn amornphimarnavatarnsathitsakkattiyavisanukamprasit',
       'krung thep mahanakhon amon rattanakosin mahinthara yuthaya mahadilok phop noppharat ratchathani burirom udomratchaniwet mahasathan amon piman awatan sathit sakkathattiya witsanukam prasit',
       'bangkok province',
       'krung thep mahanakhon bovorn ratanakosin mahintharayutthaya mahadilok pop noparatratchathani burirom udomratchanivetmahasathan amornpiman avatarnsathit sakkathattiyavisnukarmprasit',
       'krung thep mahanakhon amon rattanakosin mahinthara ayuthaya mahadilok phop noppharat ratchathani burirom udomratchaniwet mahasathan amon piman awatan sathit sakkathattiya witsanukam prasit',
       'กรุงเทพมหานคร',
       'krungthepmahanakornamornratanakosinmahintarayutthayamahadilokphopnopparatrajathaniburiromudomrajaniwesmahasatharn',
       'krungthep mahanakhon amon rattanakosin mahintara ayuthaya mahadilok popnopparat ratchathani burirom udomratchaniwet mahasathan amonpiman avatansathit sakkathattiya visnukamprasit',
       'culture of bangkok', 'bang makok', 'krungthepmahanakhon',
       'capital of thailand', 'bangkok weatherbox'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'bangkok', 'type': 'WikipediaEntity', 'value': 'BANGKOK'}",Bangkok,True,1.0,1,5.303155899047852,1312.0,2.0,0.0,0.002624,0.002624
Jack Bauer is the main character in which TV series?,"{'aliases': array(['24', 'twenty-four'], dtype=object), 'normalized_aliases': array(['twenty four', '24'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '24', 'type': 'Numerical', 'value': '24'}",24,True,1.0,1,5.014343500137329,1026.0,2.0,0.0,0.002052,0.002052
Which US singer's real name is Ernest Evans?,"{'aliases': array(['Chubby Checker'], dtype=object), 'normalized_aliases': array(['chubby checker'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'chubby checker', 'type': 'WikipediaEntity', 'value': 'Chubby Checker'}",Ernest Evans,False,0.0,0,10.034224033355713,2044.0,4.0,0.0,0.0040880000000000005,0.0040880000000000005
Braxy is a fatal bacterial infection in which animal?,"{'aliases': array(['Sheep', 'Ovis aries', 'Domestic ram', 'Yorkshire Leicester',
       'Persian Lamb', '🐏', '🐑', 'Bleat', 'Domesticated sheep', 'Ovine',
       'Domestic ewe', 'Domestic sheep', 'Sheeps', 'Agnine',
       'Feral sheep', 'Domestic Sheep', 'Ovis orientalis aries',
       'Sheep sounds', 'Sheep description', 'Ram (sheep)', 'Yowe',
       'Sheep, domestic'], dtype=object), 'normalized_aliases': array(['sheep domestic', 'agnine', 'sheep sounds', '🐑', '🐏',
       'domesticated sheep', 'persian lamb', 'ovis orientalis aries',
       'ram sheep', 'domestic sheep', 'ovine', 'sheep description',
       'domestic ewe', 'domestic ram', 'yorkshire leicester',
       'ovis aries', 'sheeps', 'feral sheep', 'yowe', 'sheep', 'bleat'],
      dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sheep', 'type': 'WikipediaEntity', 'value': 'Sheep'}",Sheep,True,1.0,1,4.97998833656311,875.0,2.0,0.0,0.0017499999999999998,0.0017499999999999998
"The first coin-operated parking meter in the US was installed in Oklahoma City, Oklahoma. In what year was it installed?","{'aliases': array(['one thousand, nine hundred and thirty-five', '1935'], dtype=object), 'normalized_aliases': array(['one thousand nine hundred and thirty five', '1935'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '1935', 'type': 'Numerical', 'value': '1935'}",Agent stopped due to iteration limit or time limit.,False,0.0,0,23.842317819595337,5610.0,9.0,0.0,0.011219999999999999,0.011219999999999999
What giant bird was hunted to extinction by Māori people on New Zealand?,"{'aliases': array(['Emeidae', 'Moaspecies', 'Wingless birds', 'Wingless bird',
       'Moa (bird)', 'Dinornithiformes', 'Moa', 'Moas'], dtype=object), 'normalized_aliases': array(['dinornithiformes', 'wingless bird', 'moas', 'moa bird',
       'wingless birds', 'emeidae', 'moa', 'moaspecies'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'moa', 'type': 'WikipediaEntity', 'value': 'Moa'}",Agent stopped due to iteration limit or time limit.,False,0.0,0,30.353740692138672,9511.0,9.0,0.0,0.019022,0.019022
With which heavy metal pop group is Rick Allen associated?,"{'aliases': array([""Def leppard let's go"", 'Def lepard', 'Deaf Leppard',
       'Deff Leppard', 'Def Leppard band members',
       'Def leppard band members', 'Def Leopard', ""'DEF LEPPARD'"",
       'Der Leppar', 'Atomic Mass band', 'List of Def Leppard members',
       'Def Leppard', 'Leppard', 'Deaf Leopard'], dtype=object), 'normalized_aliases': array(['def leppard band members', 'leppard', 'def leopard',
       'atomic mass band', 'deaf leppard', 'der leppar', 'def leppard',
       'list of def leppard members', 'def leppard let s go',
       'def lepard', 'deaf leopard', 'deff leppard'], dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'def leppard', 'type': 'WikipediaEntity', 'value': ""'DEF LEPPARD'""}",Def Leppard,True,1.0,1,5.6440346240997314,772.0,2.0,0.0,0.0015439999999999998,0.0015439999999999998
"In Sharia law, what is the specific punishment for adultery?","{'aliases': array(['Lapidate', 'Stoned (punishment)', 'Stonings', 'Stoning',
       'Stoning in Scripture', 'Lapidation', 'Stoned to death',
       'Layla Ibrahim Issa Jumul', 'Aisha Duhulow', 'Stoning to Death'],
      dtype=object), 'normalized_aliases': array(['stoned to death', 'aisha duhulow', 'stoning to death',
       'layla ibrahim issa jumul', 'stoned punishment', 'lapidate',
       'stoning', 'stonings', 'lapidation', 'stoning in scripture'],
      dtype=object), 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'stoning to death', 'type': 'WikipediaEntity', 'value': 'Stoning to Death'}",Capital punishment,False,0.0,0,10.51108980178833,2640.0,5.0,0.0,0.005280000000000001,0.005280000000000001
